"date" "web" "bask_vol" "ind" "web_ind" "latency" "space" "sail" "edge_b" "active" "rest_exp" "care_young" "walk"
"28/06/2019" 11 0.17 8 "11_8" 45 "edge_basket" 0 1 0 0 0 0
"27/06/2019" 11 0.17 11 "11_11" 37 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 11 0.17 11 "11_11" 37 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 12 0.32 1 "12_1" 205 "edge_basket" 0 1 0 0 0 0
"28/06/2019" 12 0.32 1 "12_1" 205 "edge_basket" 0 1 0 0 0 0
"27/06/2019" 12 0.32 2 "12_2" 102 "edge_basket" 0 1 0 0 0 0
"28/06/2019" 12 0.32 2 "12_2" 102 "edge_basket" 0 1 0 0 0 0
"27/06/2019" 12 0.32 3 "12_3" 82 "edge_basket" 0 1 0 0 0 0
"28/06/2019" 12 0.32 3 "12_3" 82 "edge_basket" 0 1 0 0 0 0
"27/06/2019" 12 0.32 4 "12_4" 163 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 12 0.32 4 "12_4" 163 "midle_basket" 0 0 0 0 0 0
"28/06/2019" 12 0.32 4 "12_4" 163 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 12 0.32 6 "12_6" 223 "edge_basket" 0 1 0 0 0 0
"27/06/2019" 12 0.32 6 "12_6" 223 "edge_basket" 0 1 0 0 0 0
"28/06/2019" 12 0.32 6 "12_6" 223 "edge_basket" 0 1 0 0 0 0
"27/06/2019" 12 0.32 7 "12_7" 64 "edge_basket" 0 1 0 0 0 0
"28/06/2019" 12 0.32 7 "12_7" 64 "edge_basket" 0 1 0 0 0 0
"27/06/2019" 12 0.32 9 "12_9" 41 "edge_basket" 0 1 0 0 0 0
"27/06/2019" 12 0.32 10 "12_10" 189 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 12 0.32 10 "12_10" 189 "midle_basket" 0 0 0 0 0 0
"28/06/2019" 12 0.32 10 "12_10" 189 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 12 0.32 11 "12_11" 25 "midle_basket" 0 0 1 0 0 1
"27/06/2019" 12 0.32 13 "12_13" 229 "midle_basket" 0 0 1 0 0 1
"27/06/2019" 12 0.32 13 "12_13" 229 "midle_basket" 0 0 1 0 0 1
"28/06/2019" 12 0.32 13 "12_13" 229 "midle_basket" 0 0 1 0 0 1
"27/06/2019" 12 0.32 14 "12_14" 49 "edge_basket" 0 1 0 0 0 0
"28/06/2019" 12 0.32 14 "12_14" 49 "edge_basket" 0 1 0 0 0 0
